event_id,position,position_change,driver_name,team,time_or_gap,best_lap,laps,grid,stops,kph,overtakes,laps_led,distance_led,steward_penalty,game_penalty,points,status,fastest_lap,dotd
s6_r01_main,1,0,Shaul Ezra,MERCEDES,42:45.718,,32,1,1,312,1,29,,,,24,Finished,yes,
s6_r01_main,2,0,Kfir Chen,ALPINE RENAULT,+19.210,1:18.122,32,2,1,322,1,4,,,,20,Finished,,
s6_r01_main,3,+1,Eden Azran,MCLAREN MERCEDES,+35.786,1:18.58,32,4,1,314,4,2,,,,17,Finished,,
s6_r01_main,4,+5,Nitzan Alon,MERCEDES,+42.639,1:18.678,32,9,1,332,2,8,,,,14,Finished,,
s6_r01_main,5,-2,Guy Azran,MCLAREN MERCEDES,+43.376,1:18.801,32,3,1,322,7,2,13.629,,,12,Finished,,
s6_r01_main,6,0,Youssef Shaheen,ASTON MARTIN ARAMCO MERCEDES,+53.021,1:18.407,32,2,326,5,0,3,,,,10,Finished,,
s6_r01_main,7,-2,Kelly Aiche,FERRARI,+53.781,1:18.948,32,5,1,326,2,406,,,,8,Finished,,
s6_r01_main,8,-1,Guy Rapke,FERRARI,+55.585,1:18.723,32,7,1,339,5,1,4.977,,,6,Finished,,
s6_r01_main,9,-1,Idan Turjeman,ASTON MARTIN ARAMCO MERCEDES,+57.780,1:18.526,32,8,1,326,8,5,,,,4,Finished,,
s6_r01_main,10,+4,Dvir Badash,HAAS FERRARI,+1:07.124,1:17.945,32,14,1,331,5,8,,,,3,Finished,,
s6_r01_main,11,-1,Lior Cohen,RACING BULLS HONDA RBPT,+1:16.788,1:18.605,32,10,1,331,2,2,,,,2,Finished,,
s6_r01_main,12,0,Omer Cohen,WILLIAMS MERCEDES,+1 LAP,1:20.554,31,12,2,313,2,5,,,,1,Finished,,
s6_r01_main,13,0,Tal Cohen,RACING BULLS HONDA RBPT,+1 LAP,1:20.896,31,13,2,316,3,2,,,,5,Finished,,
s6_r01_main,14,+1,Amit Buzaglo,HAAS FERRARI,+1 LAP,1:19.731,31,15,2,313,3,5,,,,2,Finished,,
s6_r01_main,15,+2,Asaf Ben Llulu,RED BULL RACING HONDA RBPT,+3 LAPS,1:21.291,29,17,2,316,1,5,,,,5,Finished,,
s6_r01_main,16,-5,Raz Bring,RED BULL RACING HONDA RBPT,DNF,1:18.858,26,11,1,325,3,2,,,,2,DNF,,
s6_r01_main,17,-1,Tamir,ALPINE RENAULT,DNF,1:20.207,14,16,2,316,4,5,,,,2,DNF,,
